id,Director,Actor,Type,Nation,Weight,idI
鲁邦三世：一美元战争,殿勝秀樹;柏原寛司,栗田贯一;小林清志;秋元羊介;坂東尚樹 Bandou Naoki;小山武宏 Koyama Takehiro;田原アルノ Tahara Aruno;谷昌樹 Tani Masaki;鳥畑洋人 Torihata Hiroto;横尾博之 Yokoo Hiroyuki;清水敏孝 Shimizu Toshitaka;永田亮子 Nagata Ryoko;増山江威子 Eiko Masuyama;井上真樹夫 Makio Inoue;納谷悟朗 Goro Naya;松本梨香 Matsumoto Rica;小山茉美 Mami Koyama;中田譲治 Nakata George;松岡文雄 Matsuoka Fumio;峰恵研 Eken Mine,喜剧;动作;动画;悬疑;犯罪;冒险,日本,7,340
鲁邦三世：宝物返还大作战,川越淳;柏原寛司,栗田貫一 Kanichi Kurita;小林清志 Kiyoshi Kobayashi;増山江威子 Eiko Masuyama;井上真樹夫 Makio Inoue;納谷悟朗 Goro Naya;山寺宏一 Yamadera Kouichi;北村弘一 Kitamura Kouichi;五十嵐麗 Igarashi Rei;八奈見乗児 Yanami Joji;松岡文雄 Matsuoka Fumio,喜剧;动作;动画;犯罪;冒险,日本,6,341
鲁邦三世：微风公主~隐藏的天空之城,金崎貴臣,栗田贯一;小林清志;浪川大辅;泽城美雪;山寺宏一;石川由依;神谷浩史;宮本佳那子;诹访部顺一,动画;犯罪;冒险,日本,4,342
鲁邦三世：次元大介的墓碑,小池健,栗田贯一;小林清志;泽城美雪;山寺宏一;广濑彰勇,动作;动画;犯罪,日本,4,343
鲁邦三世：爱的记号，不二子的倒霉日子,ワタナベシンイチ;藤田伸三,栗田贯一;小林清志;纳谷悟郎;户田惠子;森山周一郎;千叶繁;青森伸 Shin Aomori;楠大典;岩田安生;坂东尚树;坪井智浩;樫井笙人 Kashii Shouto;横尾博之 Yokoo Hiroyuki;加濑康之;增山江威子;井上真树夫,喜剧;动画;悬疑;惊悚;奇幻;冒险,日本,7,344
鲁邦三世：通往恶魔岛,殿勝秀樹;柏原寛司,栗田贯一;小林清志;绪方贤一;出光元;松井范雄;池田胜;川上伦子;增山江威子;井上真树夫;纳谷悟郎;石田太郎;大塚明夫;泷口顺平;立木文彦;沢海陽子,喜剧;动作;动画;悬疑;犯罪,日本,6,345
鲛珠传,杨磊,王大陆;张天爱;任达华;盛冠森;王迅;赵健;刘俊孝;释彦能;胡兵;何穗;蒋璐霞;杜奕衡;周一围,喜剧;动作;爱情;奇幻,中国大陆;香港,6,346
鲜花,西尔扎提·亚合甫,茹扎·达吾列提;法蒂哈·马力克;阿力木江·吐尔斯拜克,剧情,中国大陆,2,347
鲨海,约翰内斯·罗伯茨,曼迪·摩尔;克莱尔·霍尔特;克里斯·J.约翰逊;雅尼·吉尔曼;圣地亚哥·瑟甘拉;马修·莫迪恩,惊悚;冒险,英国;美国;多米尼加,5,348
鲨滩,佐米·希尔拉,布蕾克·莱弗利;奥斯卡·贾恩那达;布莱特·卡伦;塞多娜·莱格,惊悚;冒险,美国,3,349
